"name","substanceId","casNo","ecNo","pubchem_cid","pubchem"
"potassium carbomer","36940","-","-",,""
"peg-40 hydrogenated castor oil","78452","61788-85-0","-",,""
"peg-60 hydrogenated castor oil","77219","61788-85-0","-",,""
"peg-6 hydrogenated castor oil","57041","61788-85-0","500-147-5",,""
"peg-2 hydrogenated castor oil","77822","61788-85-0","500-147-5",,""
"peg-50 hydrogenated castor oil isostearate","77040",,,,""
"peg-100 hydrogenated castor oil","77451","61788-85-0","-",,""
"peg-80 hydrogenated castor oil","77480","61788-85-0","-",,""
"peg-10 hydrogenated castor oil","77352","61788-85-0",,,""
"alpha-isomethyl ionone","39665","127-51-5","204-846-3",5372174,"https://pubchem.ncbi.nlm.nih.gov/compound/5372174"
"laureth-7","34924","3055-97-8 / 68439-50-9 / 9002-92-0","221-283-9 / 500-213-3 / 500-002-6",76459,"https://pubchem.ncbi.nlm.nih.gov/compound/76459"
"laureth-4","34915","5274-68-0 / 9002-92-0 / 68439-50-9","226-097-1 / 500-002-6 / 500-213-3",78933,"https://pubchem.ncbi.nlm.nih.gov/compound/78933"
"ppg-14 butyl ether","79852","9003-13-8",,24752,"https://pubchem.ncbi.nlm.nih.gov/compound/24752"
"ppg-5-ceteth-20","78589","9087-53-0 / 37311-01-6",,61429,"https://pubchem.ncbi.nlm.nih.gov/compound/61429"
"laureth-23","76947","9002-92-0",,24750,"https://pubchem.ncbi.nlm.nih.gov/compound/24750"
"ppg-26-buteth-26","80039","9038-95-3 / 9065-63-8",,24838540,"https://pubchem.ncbi.nlm.nih.gov/compound/24838540"
"laureth-9","34930","3055-99-0 / 9002-92-0 / 68439-50-9","221-284-4 / 500-002-6 / 500-213-3",656641,"https://pubchem.ncbi.nlm.nih.gov/compound/656641"
"laureth-12","76933","3056-00-6 / 9002-92-0","221-286-5",76460,"https://pubchem.ncbi.nlm.nih.gov/compound/76460"
"sodium laureth-12 sulfate","79585","9004-82-4","266-192-5",23665884,"https://pubchem.ncbi.nlm.nih.gov/compound/23665884"
